charID;x;y;width;height;shift;offset
32;2;2;7;15;7;0
33;2028;750;1;15;7;2
34;2022;750;4;15;7;1
35;2014;750;6;15;7;0
36;2007;750;5;15;7;1
37;1998;750;7;15;7;0
38;1989;750;7;15;7;0
39;1985;750;2;15;7;1
40;2031;750;3;15;7;3
41;1980;750;3;15;7;1
42;1966;750;7;15;7;0
43;1957;750;7;15;7;0
44;1953;750;2;15;7;1
45;1945;750;6;15;7;0
46;1941;750;2;15;7;1
47;1933;750;6;15;7;0
48;1926;750;5;15;7;1
49;1975;750;3;15;7;2
50;2036;750;5;15;7;1
51;2043;750;5;15;7;1
52;2050;750;6;15;7;0
53;2170;750;5;15;7;1
54;2163;750;5;15;7;1
55;2156;750;5;15;7;1
56;2149;750;5;15;7;1
57;2142;750;5;15;7;1
58;2139;750;1;15;7;2
59;2136;750;1;15;7;3
60;2129;750;5;15;7;1
61;2121;750;6;15;7;0
62;2114;750;5;15;7;1
63;2107;750;5;15;7;1
64;2099;750;6;15;7;1
65;2090;750;7;15;7;0
66;2082;750;6;15;7;0
67;2074;750;6;15;7;0
68;2066;750;6;15;7;0
69;2058;750;6;15;7;0
70;1918;750;6;15;7;0
71;2177;750;6;15;7;0
72;1909;750;7;15;7;0
73;1895;750;5;15;7;1
74;1734;750;7;15;7;0
75;1726;750;6;15;7;0
76;1718;750;6;15;7;0
77;1709;750;7;15;7;0
78;1700;750;7;15;7;0
79;1692;750;6;15;7;0
80;1684;750;6;15;7;0
81;1743;750;6;15;7;0
82;1675;750;7;15;7;0
83;1660;750;5;15;7;1
84;1653;750;5;15;7;1
85;1644;750;7;15;7;0
86;1635;750;7;15;7;0
87;1626;750;7;15;7;0
88;1618;750;6;15;7;0
89;1610;750;6;15;7;1
90;1667;750;6;15;7;0
91;1751;750;3;15;7;3
92;1756;750;5;15;7;1
93;1763;750;3;15;7;1
94;1890;750;3;15;7;2
95;1882;750;6;15;7;0
96;1877;750;3;15;7;1
97;1869;750;6;15;7;1
98;1861;750;6;15;7;0
99;1854;750;5;15;7;1
100;1846;750;6;15;7;1
101;1839;750;5;15;7;1
102;1831;750;6;15;7;0
103;1823;750;6;15;7;1
104;1814;750;7;15;7;0
105;1807;750;5;15;7;1
106;1800;750;5;15;7;1
107;1792;750;6;15;7;0
108;1785;750;5;15;7;1
109;1777;750;6;15;7;1
110;1768;750;7;15;7;0
111;1902;750;5;15;7;1
112;2185;750;6;15;7;0
113;2193;750;6;15;7;1
114;2201;750;5;15;7;1
115;2823;750;5;15;7;1
116;2815;750;6;15;7;0
117;2806;750;7;15;7;0
118;2798;750;6;15;7;0
119;2789;750;7;15;7;0
120;2781;750;6;15;7;0
121;2773;750;6;15;7;1
122;2766;750;5;15;7;1
123;2761;750;3;15;7;3
124;2758;750;1;15;7;3
125;2753;750;3;15;7;1
126;2745;750;6;15;7;1
127;2743;750;0;15;7;0
183;2739;750;2;15;13;6
231;2732;750;5;15;7;0
234;2725;750;5;15;7;1
241;2717;750;6;15;7;0
1056;2830;750;8;15;13;2
1080;2853;750;8;15;13;2
1081;3062;750;8;15;13;2
1082;2863;750;6;15;13;3
1089;3054;750;6;15;13;3
1091;3044;750;8;15;13;2
8212;3033;750;9;15;13;2
8230;3021;750;10;15;13;1
9647;3012;750;7;15;13;3
12289;3007;750;3;15;13;4
12290;3001;750;4;15;13;3
19968;2988;750;11;15;13;1
19969;2975;750;11;15;13;1
19970;2962;750;11;15;13;1
19971;2949;750;11;15;13;1
19972;2936;750;11;15;13;1
19973;2923;750;11;15;13;1
19974;2910;750;11;15;13;1
19975;2897;750;11;15;13;1
19976;2884;750;11;15;13;1
19977;2871;750;11;15;13;1
19978;2704;750;11;15;13;1
19979;2691;750;11;15;13;1
19980;2678;750;11;15;13;1
19981;2665;750;11;15;13;1
19982;2403;750;11;15;13;1
19983;2390;750;11;15;13;1
19984;2377;750;11;15;13;1
19985;2364;750;11;15;13;1
19986;2351;750;11;15;13;1
19987;2338;750;11;15;13;1
19988;2325;750;11;15;13;1
19989;2416;750;11;15;13;1
19990;2312;750;11;15;13;1
19991;2286;750;11;15;13;1
19992;2273;750;11;15;13;1
19993;2260;750;11;15;13;1
19994;2247;750;11;15;13;1
19995;2234;750;11;15;13;1
19996;2221;750;11;15;13;1
19997;2208;750;11;15;13;1
19998;2299;750;11;15;13;1
19999;2429;750;11;15;13;1
20000;2442;750;11;15;13;1
20001;2455;750;11;15;13;1
20002;2652;750;11;15;13;1
20003;2639;750;11;15;13;1
20004;2626;750;11;15;13;1
20005;2613;750;11;15;13;1
20006;2600;750;11;15;13;1
20007;2587;750;11;15;13;1
20008;2584;750;1;15;13;6
20009;2575;750;7;15;13;3
20010;2562;750;11;15;13;1
20011;2549;750;11;15;13;1
20012;2543;750;4;15;13;1
20013;2532;750;9;15;13;2
20014;2519;750;11;15;13;1
20015;2507;750;10;15;13;2
20016;2494;750;11;15;13;1
20017;2481;750;11;15;13;1
20018;2468;750;11;15;13;1
20019;1597;750;11;15;13;1
20020;1584;750;11;15;13;1
20021;1571;750;11;15;13;1
20022;522;750;4;15;13;4
20023;229;750;8;15;13;2
20024;216;750;11;15;13;1
20025;203;750;11;15;13;1
20026;190;750;11;15;13;1
20027;177;750;11;15;13;1
20028;164;750;11;15;13;1
20029;151;750;11;15;13;1
20030;239;750;11;15;13;1
20031;145;750;4;15;13;3
20032;119;750;11;15;13;1
20033;108;750;9;15;13;2
20034;95;750;11;15;13;1
20035;82;750;11;15;13;1
20036;71;750;9;15;13;2
20037;58;750;11;15;13;1
20038;45;750;11;15;13;1
20039;132;750;11;15;13;1
20040;252;750;11;15;13;1
20041;265;750;11;15;13;1
20042;278;750;11;15;13;1
20043;497;750;10;15;13;2
20044;484;750;11;15;13;1
20045;471;750;11;15;13;1
20046;458;750;11;15;13;1
20047;445;750;11;15;13;1
20048;432;750;11;15;13;1
20049;419;750;11;15;13;1
20050;406;750;11;15;13;1
20051;393;750;11;15;13;1
20052;380;750;11;15;13;1
20053;367;750;11;15;13;1
20054;354;750;11;15;13;1
20055;341;750;11;15;13;1
20056;328;750;11;15;13;1
20057;316;750;10;15;13;1
20058;304;750;10;15;13;2
20059;291;750;11;15;13;1
20060;32;750;11;15;13;1
20061;509;750;11;15;13;1
20062;20;750;10;15;13;1
20063;2;750;11;15;13;1
20064;3801;733;10;15;13;1
20065;3788;733;11;15;13;1
20066;3775;733;11;15;13;1
20067;3762;733;11;15;13;1
20068;3749;733;11;15;13;1
20069;3736;733;11;15;13;1
20070;3723;733;11;15;13;1
20071;3813;733;11;15;13;1
20072;3710;733;11;15;13;1
20073;3684;733;11;15;13;1
20074;3671;733;11;15;13;1
20075;3658;733;11;15;13;1
20076;3645;733;11;15;13;1
20077;3632;733;11;15;13;1
20078;3619;733;11;15;13;1
20079;3606;733;11;15;13;1
20080;3697;733;11;15;13;1
20081;3826;733;11;15;13;1
20082;3839;733;11;15;13;1
20083;3852;733;11;15;13;1
20084;4073;733;11;15;13;1
20085;4060;733;11;15;13;1
20086;4047;733;11;15;13;1
20087;4034;733;11;15;13;1
