ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
2,Gary,Intro Cutscene,,"Gary to Mission Control. Come in, Mission Control. Over.",Gary à la base. Vous me recevez ? À vous.,"Gary an Missionszentrum. Missionszentrum, bitte kommen. Ende.","Gary a control de misión. Responda, control de misión. Cambio.","Gary para Controle de Missão. Responda, Controle de Missão. Câmbio.","Гэри вызывает центр управления полетами. Центр управления полетами, прием. Как слышите?",ゲイリーから管制へ。 応答せよ、どうぞ。,"여기는 게리, 임무 통제 센터는 응답하라. 응답 바란다, 임무 통제 센터. 오버.",盖瑞呼叫指挥中心。指挥中心，收到请回复。完毕。,蓋瑞呼叫任務指揮官。任務指揮官，收到請回答。完畢。,盖瑞呼叫任务指挥官。任务指挥官，收到请回复。完毕。
3,Mission Control,Intro Cutscene,,Mission Control here. Over.,"Ici la base, on vous reçoit. À vous.",Hier ist das Missionszentrum. Ende.,Aquí control de misión. Cambio.,Controle de Missão na escuta. Câmbio.,Говорит центр управления полетами. Как слышите?,こちら管制だ、どうぞ。,임무 통제 센터에서 응답한다. 오버.,这里是指挥中心，请讲。完毕。,這裡是任務指揮官，請說。完畢。,这里是任务指挥官，请讲。完毕。
4,Gary,Intro Cutscene,,"Commander, I'm getting a signal from a small planet on my patrol route.","Mon commandant, je capte un signal provenant d'une petite planète.","Commander, ich empfange ein Signal von einem kleinen Planeten auf meiner Route.","Comandante, recibo una señal de un pequeño planeta en mi ruta de patrulla.","Comandante, estou recebendo um sinal de um pequeno planeta na minha patrulha.","Во время патрулирования обнаружен сигнал, исходящий с небольшой планеты.",司令官、巡回ルート上の小惑星から信号をキャッチしました。,"사령관 님, 순찰 경로의 작은 행성으로부터 신호를 받고 있습니다.",长官，我在巡逻途中收到了从一颗小行星上发来的信号。,長官，我在巡邏途中發現來自一個小行星的信號。,长官，我在巡逻途中发现来自一个小行星的信号。
5,Gary,Intro Cutscene,,Coordinates 4...2...0...6...9...,Ses coordonnées sont 4... 2... 0... 6... 9...,Die Koordinaten lauten: 4 ... 2 ... 0 ... 6 ... 9 ...,Coordenadas 4... 2... 0... 6... 9...,Coordenadas 4...2...0...6...9...,Координаты 4...2...0...6...9...,座標は4...2...0...6...9...,좌표는 4...2...0...6...9...,坐标为4…2…0…6…9…,座標為4...2...0...6...9...,坐标为4...2...0...6...9...
6,Gary,Intro Cutscene,,...  Over.,...  À vous.,...  Ende.,...  Cambio.,...  Câmbio.,...  Прием.,...どうぞ。,...  오버.,…完毕。,...完畢。,...完毕。
7,Mission Control,Intro Cutscene,,Those coordinates correspond to one of our Research Facilities.,Ces coordonnées correspondent à un de nos laboratoires de recherche.,Die Koordinaten stimmen mit denen einer unserer Forschungseinrichtungen überein.,Esas coordenadas corresponden a una de nuestras instalaciones de investigación.,Essas coordenadas correspondem a uma de nossas Instalações de Pesquisa.,По указанным координатам находится одна из наших исследовательских лабораторий.,そいつはわが軍の研究施設だ。,그 좌표는 연구 시설 중 하나와 일치하는군.,这组坐标和我们其中一座研究所相符。,這組座標對應著我們的一個研究機構。,这组坐标对应着我们的一个研究机构。
8,Mission Control,Intro Cutscene,,"Likely a false alarm, Lieutenant.","Certainement une fausse alerte, Lieutenant.","Wahrscheinlich ein falscher Alarm, Lieutenant.","Seguramente es una falsa alarma, teniente.","Provavelmente um alarme falso, tenente.","Но вряд ли там что-то есть, лейтенант.",おそらく誤報だろう、中尉。,"아마도 거짓 신호일 것이다, 중위.",有可能是误报，中尉。,有可能是誤報，中尉。,有可能是误报，中尉。
9,Mission Control,Intro Cutscene,,This particular facility has been long since abandoned. Over.,Ce labo a été abandonné il y a très longtemps. À vous.,Diese Einrichtung ist schon seit Langem verlassen. Ende.,Esa instalación en particular lleva mucho tiempo abandonada. Cambio.,Este local está abandonado há muito tempo. Câmbio.,Ее уже давно забросили. Прием.,この施設は大昔に放棄された。どうぞ。,그 시설은 버려진 지 오래된 곳이다. 오버.,该研究所已废弃很久了。完毕。,該研究機構已被廢棄多年了。完畢。,该研究机构已被废弃多年了。完毕。
10,Gary,Intro Cutscene,,"Permission to investigate, sir. Over.","Je peux aller voir de plus près, mon commandant ? À vous.","Ich bitte um Erlaubnis, mir das anzusehen, Commander. Ende.","Solicito permiso para investigar, señor. Cambio.","Permissão para investigar, senhor. Câmbio.","Запрашиваю разрешение на проведение расследования, сэр. Прием.",調査の許可を。どうぞ。,"조사 허가를 부탁드립니다, 사령관 님. 오버.",请求调查许可，长官。完毕。,請求前去調查，長官。完畢。,请求前去调查，长官。完毕。
11,Mission Control,Intro Cutscene,,"Approach with caution, Lieutenant.  Over.","Affirmatif. Soyez prudent, Lieutenant.  À vous.","Nähern Sie sich vorsichtig, Lieutenant.  Ende.","Acérquese con cautela, teniente.  Cambio.","Prossiga com cautela, tenente.  Câmbio.","Соблюдайте повышенную осторожность, лейтенант.  Прием.",用心して接近せよ、中尉。 どうぞ。,"주의 깊게 접근하도록, 중위.  오버.",一定要小心行事，中尉。完毕。,請務必謹慎小心，中尉。完畢。,请务必谨慎小心，中尉。完毕。
12,Gary,Intro Cutscene,,"Affirmative, Commander.  Approaching target, sir.","Bien reçu, mon commandant.  J'approche de la destination.","Jawohl, Commander.  Ich nähere mich dem Ziel.","Afirmativo, comandante.  Me aproximo al objetivo, señor.","Entendido, comandante.  Estou me aproximando do alvo, senhor.","Так точно, сэр.  Приближаюсь к цели.",了解です、司令官。 目標へ向かいます。,"알겠습니다, 사령관 님.  목표물에 접근하고 있습니다, 사령관 님.",收到，长官。正在靠近目标，长官。,收到，長官。正在接近目標，長官。,收到，长官。正在接近目标，长官。
13,Gary,Intro Cutscene,,Preparing for-,Je me prépare à...,Vorbereitung auf ...,Preparándome para...,Preparando para-,Готовимся к...,着陸にそな...,이제 착륙 준비를-,准备——,準備——,准备——
